,LoanID,MonthRep,Servicer,CurrInterestRate,CAUPB,LoanAge,MonthsToMaturity,AdMonthsToMaturity,MaturityDate,MSA,CLDS,ModFlag,ZeroBalCode,ZeroBalDate,LastInstallDate,ForeclosureDate,DispositionDate,ForeclosureCosts,PPRC,AssetRecCost,MHEC,ATFHP,NetSaleProceeds,CreditEnhProceeds,RPMWP,OFP,NIBUPB,PFUPB,RMWPF,FPWA,ServicingIndicator,Arrears,Arrears_3m,Arrears_6m,Arrears_9m,Arrears_12m,0
654706,109292178670.0,03/01/2017,,4.0,191867.77,58.0,302.0,300.0,05/2042,38060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,2.0,2.0,
312954,104490814795.0,12/01/2016,,5.345,67520.26,63.0,297.0,289.0,09/2041,24340,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
66987,100985813687.0,09/01/2017,,5.375,94545.3,76.0,284.0,284.0,05/2041,38060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
130190,101884220453.0,12/01/2017,,3.5,159695.02,59.0,181.0,181.0,01/2033,44700,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
879332,112370962079.0,09/01/2016,,3.625,153977.98,45.0,315.0,315.0,12/2042,36740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
326642,104685499150.0,06/01/2016,,4.625,221589.38,82.0,278.0,272.0,08/2039,33460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
522022,107457242527.0,09/01/2017,,3.75,266393.8,50.0,310.0,310.0,07/2043,42660,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
787369,111097112850.0,06/01/2016,,5.0,100143.03,63.0,297.0,293.0,03/2041,27100,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
973589,113765384111.0,12/01/2016,,4.625,170789.48,44.0,316.0,316.0,04/2043,17020,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
73010,101072065224.0,09/01/2016,,4.125,132956.94,46.0,314.0,311.0,11/2042,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,1.0,
